elapsed_s,stream,joint,deg
42.7176,maxon,right_wrist,-41.103
42.7180,maxon,left_wrist,9.919
42.7185,arm,left_elbow,-78.360
42.7185,arm,right_elbow,82.886
42.7192,maxon,left_wrist,10.346
42.7194,maxon,right_wrist,-41.027
42.7206,maxon,left_wrist,10.773
42.7211,maxon,left_wrist,11.200
42.7213,maxon,right_wrist,-40.955
42.7216,neck,head_2,-17.578
42.7224,maxon,left_wrist,11.627
42.7229,maxon,left_wrist,12.039
42.7231,maxon,right_wrist,-40.864
42.7241,maxon,left_wrist,12.450
42.7243,maxon,right_wrist,-40.814
42.7256,maxon,left_wrist,12.862
42.7257,maxon,right_wrist,-40.761
42.7261,maxon,left_wrist,13.277
42.7263,maxon,right_wrist,-40.708
42.7266,neck,head_2,-17.490
42.7267,arm,left_elbow,-78.414
42.7274,maxon,left_wrist,13.688
42.7276,maxon,right_wrist,-40.658
42.7279,maxon,left_wrist,14.085
42.7281,maxon,right_wrist,-40.590
42.7292,maxon,left_wrist,14.482
42.7294,maxon,right_wrist,-40.523
42.7298,arm,right_elbow,82.834
42.7305,maxon,left_wrist,14.879
42.7306,maxon,right_wrist,-40.457
42.7310,maxon,left_wrist,15.275
42.7312,maxon,right_wrist,-40.390
42.7315,neck,head_2,-17.314
42.7323,maxon,left_wrist,15.672
42.7324,maxon,right_wrist,-40.324
42.7328,maxon,left_wrist,16.056
42.7330,maxon,right_wrist,-40.241
42.7342,maxon,left_wrist,16.438
42.7344,maxon,right_wrist,-40.161
42.7348,arm,left_elbow,-78.467
42.7356,maxon,left_wrist,16.820
42.7357,maxon,right_wrist,-40.078
42.7361,maxon,left_wrist,17.201
42.7363,maxon,right_wrist,-39.998
42.7366,neck,head_2,-17.227
42.7375,maxon,left_wrist,17.586
42.7376,maxon,right_wrist,-39.915
42.7380,maxon,left_wrist,17.952
42.7382,maxon,right_wrist,-39.819
42.7393,maxon,left_wrist,18.319
42.7396,maxon,right_wrist,-39.722
42.7400,maxon,left_wrist,18.688
42.7406,maxon,right_wrist,-39.626
42.7411,maxon,left_wrist,19.055
42.7413,maxon,right_wrist,-39.528
42.7416,neck,head_2,-17.051
42.7417,arm,right_elbow,82.782
42.7426,maxon,left_wrist,19.421
42.7428,maxon,right_wrist,-39.433
42.7433,maxon,left_wrist,19.775
42.7435,maxon,right_wrist,-39.320
42.7439,maxon,left_wrist,20.127
42.7442,maxon,right_wrist,-39.209
42.7448,arm,left_elbow,-78.530
42.7456,maxon,left_wrist,20.481
42.7461,maxon,right_wrist,-39.099
42.7466,maxon,left_wrist,20.833
42.7468,maxon,right_wrist,-38.986
42.7472,maxon,left_wrist,21.187
42.7474,maxon,right_wrist,-38.875
42.7477,neck,head_2,-16.963
42.7484,maxon,left_wrist,21.523
42.7486,maxon,right_wrist,-38.750
42.7490,maxon,left_wrist,21.862
42.7491,maxon,right_wrist,-38.624
42.7506,maxon,left_wrist,22.199
42.7508,maxon,right_wrist,-38.496
42.7512,maxon,left_wrist,22.538
42.7514,maxon,right_wrist,-38.371
42.7518,maxon,left_wrist,22.874
42.7520,maxon,right_wrist,-38.245
42.7523,neck,head_2,-16.787
42.7531,maxon,left_wrist,23.329
42.7532,maxon,right_wrist,-38.042
42.7536,arm,left_elbow,-78.587
42.7536,arm,right_elbow,82.730
42.7544,maxon,left_wrist,23.781
42.7547,maxon,right_wrist,-37.836
42.7553,maxon,left_wrist,24.233
42.7557,maxon,right_wrist,-37.632
42.7563,maxon,left_wrist,24.687
42.7565,maxon,right_wrist,-37.429
42.7569,maxon,left_wrist,25.139
42.7570,maxon,right_wrist,-37.223
42.7573,neck,head_2,-16.699
42.7582,maxon,left_wrist,25.443
42.7584,maxon,right_wrist,-37.062
42.7588,maxon,left_wrist,25.744
42.7589,maxon,right_wrist,-36.899
42.7607,maxon,left_wrist,26.046
42.7610,maxon,right_wrist,-36.738
42.7615,maxon,left_wrist,26.347
42.7617,maxon,right_wrist,-36.575
42.7622,maxon,left_wrist,26.648
42.7624,maxon,right_wrist,-36.412
42.7628,maxon,left_wrist,26.937
42.7630,maxon,right_wrist,-36.236
42.7633,neck,head_2,-16.523
42.7634,arm,left_elbow,-78.647
42.7643,maxon,left_wrist,27.223
42.7645,maxon,right_wrist,-36.060
42.7653,maxon,left_wrist,27.510
42.7656,maxon,right_wrist,-35.882
42.7661,maxon,left_wrist,27.799
42.7666,maxon,right_wrist,-35.706
42.7670,maxon,left_wrist,28.085
42.7672,maxon,right_wrist,-35.528
42.7675,arm,right_shoulder_2,-21.610
42.7675,arm,right_elbow,82.672
42.7685,maxon,left_wrist,28.356
42.7686,maxon,right_wrist,-35.337
42.7690,maxon,left_wrist,28.630
42.7692,maxon,right_wrist,-35.144
42.7705,maxon,left_wrist,28.901
42.7708,maxon,right_wrist,-34.953
42.7714,maxon,left_wrist,29.175
42.7716,maxon,right_wrist,-34.762
42.7719,maxon,left_wrist,29.446
42.7721,maxon,right_wrist,-34.569
42.7724,neck,head_2,-16.260
42.7725,arm,left_elbow,-78.704
42.7735,maxon,left_wrist,29.705
42.7737,maxon,right_wrist,-34.363
42.7741,maxon,left_wrist,29.961
42.7742,maxon,right_wrist,-34.157
42.7758,maxon,left_wrist,30.219
42.7760,maxon,right_wrist,-33.948
42.7764,maxon,left_wrist,30.475
42.7766,maxon,right_wrist,-33.742
42.7770,maxon,left_wrist,30.734
42.7772,maxon,right_wrist,-33.537
42.7775,neck,head_2,-16.084
42.7783,maxon,left_wrist,30.975
42.7785,maxon,right_wrist,-33.316
42.7790,maxon,left_wrist,31.219
42.7792,maxon,right_wrist,-33.092
42.7796,arm,right_elbow,82.622
42.7808,maxon,left_wrist,31.460
42.7811,maxon,right_wrist,-32.871
42.7815,maxon,left_wrist,31.703
42.7817,maxon,right_wrist,-32.650
42.7821,maxon,left_wrist,31.944
42.7822,maxon,right_wrist,-32.429
42.7825,neck,head_2,-15.908
42.7826,arm,left_elbow,-78.764
42.7834,maxon,left_wrist,32.173
42.7836,maxon,right_wrist,-32.193
42.7840,maxon,left_wrist,32.402
42.7842,maxon,right_wrist,-31.957
42.7855,maxon,left_wrist,32.628
42.7857,maxon,right_wrist,-31.721
42.7864,maxon,left_wrist,32.856
42.7865,maxon,right_wrist,-31.482
42.7869,maxon,left_wrist,33.085
42.7871,maxon,right_wrist,-31.246
42.7874,neck,head_2,-15.820
42.7882,maxon,left_wrist,33.295
42.7884,maxon,right_wrist,-30.995
42.7888,maxon,left_wrist,33.509
42.7890,maxon,right_wrist,-30.744
42.7900,maxon,left_wrist,33.722
42.7902,maxon,right_wrist,-30.493
42.7910,maxon,left_wrist,33.936
42.7913,maxon,right_wrist,-30.242
42.7919,maxon,left_wrist,34.147
42.7921,maxon,right_wrist,-29.991
42.7924,neck,head_2,-15.645
42.7925,arm,left_elbow,-78.823
42.7925,arm,right_elbow,82.570
42.7933,maxon,left_wrist,34.345
42.7935,maxon,right_wrist,-29.725
42.7939,maxon,left_wrist,34.544
42.7941,maxon,right_wrist,-29.458
42.7944,arm,right_shoulder_1,59.549
42.7953,maxon,left_wrist,34.742
42.7957,maxon,right_wrist,-29.192
42.7962,maxon,left_wrist,34.940
42.7964,maxon,right_wrist,-28.926
42.7971,maxon,left_wrist,35.139
42.7973,maxon,right_wrist,-28.660
42.7976,neck,head_2,-15.469
42.7984,maxon,left_wrist,35.322
42.7986,maxon,right_wrist,-28.381
42.7990,maxon,left_wrist,35.505
42.7991,maxon,right_wrist,-28.100
42.8003,maxon,left_wrist,35.686
42.8006,maxon,right_wrist,-27.819
42.8010,maxon,left_wrist,35.869
42.8012,maxon,right_wrist,-27.537
42.8016,neck,head_2,-15.381
42.8018,arm,left_elbow,-78.876
42.8025,maxon,left_wrist,36.053
42.8027,maxon,right_wrist,-27.256
42.8031,maxon,left_wrist,36.286
42.8032,maxon,right_wrist,-26.834
42.8043,maxon,left_wrist,36.522
42.8045,maxon,right_wrist,-26.410
42.8056,maxon,left_wrist,36.756
42.8057,maxon,right_wrist,-25.988
42.8061,maxon,left_wrist,36.989
42.8063,maxon,right_wrist,-25.564
42.8070,maxon,left_wrist,37.223
42.8072,maxon,right_wrist,-25.139
42.8075,neck,head_2,-15.205
42.8076,arm,right_elbow,82.511
42.8085,maxon,left_wrist,37.371
42.8087,maxon,right_wrist,-24.823
42.8091,maxon,left_wrist,37.517
42.8093,maxon,right_wrist,-24.506
42.8104,maxon,left_wrist,37.665
42.8108,maxon,right_wrist,-24.190
42.8112,maxon,left_wrist,37.813
42.8114,maxon,right_wrist,-23.874
42.8120,maxon,left_wrist,37.959
42.8122,maxon,right_wrist,-23.557
42.8125,neck,head_2,-15.029
42.8126,arm,left_elbow,-78.937
42.8136,maxon,left_wrist,38.092
42.8137,maxon,right_wrist,-23.226
42.8141,maxon,left_wrist,38.225
42.8143,maxon,right_wrist,-22.894
42.8156,maxon,left_wrist,38.358
42.8158,maxon,right_wrist,-22.563
42.8162,maxon,left_wrist,38.489
42.8164,maxon,right_wrist,-22.229
42.8171,maxon,left_wrist,38.622
42.8173,maxon,right_wrist,-21.897
42.8176,neck,head_2,-14.941
42.8187,maxon,left_wrist,38.740
42.8188,maxon,right_wrist,-21.551
42.8192,maxon,left_wrist,38.858
42.8194,maxon,right_wrist,-21.204
42.8204,maxon,left_wrist,38.973
42.8206,maxon,right_wrist,-20.860
42.8210,maxon,left_wrist,39.091
42.8212,maxon,right_wrist,-20.514
42.8215,neck,head_2,-14.766
42.8216,arm,right_elbow,82.458
42.8225,maxon,left_wrist,39.209
42.8226,maxon,right_wrist,-20.167
42.8230,maxon,left_wrist,39.312
42.8232,maxon,right_wrist,-19.806
42.8235,arm,left_elbow,-78.998
42.8242,maxon,left_wrist,39.415
42.8244,maxon,right_wrist,-19.444
42.8255,maxon,left_wrist,39.518
42.8257,maxon,right_wrist,-19.082
42.8261,maxon,left_wrist,39.621
42.8263,maxon,right_wrist,-18.721
42.8266,neck,head_2,-14.590
